,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed,Date_Read
0,San Quintin,PH,1563906501,100,93,17.54,120.52,75.4,3.13,2019-07-23 18:28:21
1,Albany,US,1563906457,75,53,42.65,-73.75,79.0,6.93,2019-07-23 18:27:37
2,Poum,MK,1563906501,20,49,41.28,20.71,71.6,4.7,2019-07-23 18:28:21
3,Provideniya,RU,1563906502,100,96,64.42,-173.23,44.62,3.31,2019-07-23 18:28:22
4,Ushuaia,AR,1563906502,75,74,-54.81,-68.31,35.6,29.97,2019-07-23 18:28:22
5,Punta Arenas,CL,1563906502,75,69,-53.16,-70.91,39.2,8.05,2019-07-23 18:28:22
6,Novikovo,RU,1563906502,98,79,51.15,37.89,64.96,2.35,2019-07-23 18:28:22
7,Port Macquarie,AU,1563906458,0,70,-31.43,152.91,46.99,2.24,2019-07-23 18:27:38
8,Qaanaaq,GL,1563906503,60,62,77.48,-69.36,43.18,5.59,2019-07-23 18:28:23
9,Isangel,VU,1563906503,11,64,-19.55,169.27,70.9,14.97,2019-07-23 18:28:23
10,Dikson,RU,1563906503,5,90,73.51,80.55,34.72,2.95,2019-07-23 18:28:23
11,Lebu,ET,1563906503,54,86,8.96,38.73,59.2,3.04,2019-07-23 18:28:23
12,Pyu,MM,1563906504,100,98,18.48,96.43,73.42,2.91,2019-07-23 18:28:24
13,Santa Fe,AR,1563906414,100,70,-31.62,-60.7,54.0,8.01,2019-07-23 18:26:54
14,Hithadhoo,MV,1563906504,99,76,-0.6,73.08,83.32,7.61,2019-07-23 18:28:24
15,Jurm,AF,1563906504,0,32,36.86,70.83,66.22,2.71,2019-07-23 18:28:24
16,Pidhaytsi,UA,1563906504,0,82,49.27,25.13,69.01,6.71,2019-07-23 18:28:24
17,Valparaiso,US,1563906505,1,36,41.47,-87.06,82.0,6.93,2019-07-23 18:28:25
18,Ostrovnoy,RU,1563906505,100,68,68.05,39.51,50.38,4.12,2019-07-23 18:28:25
19,Tongchuan,CN,1563906505,0,78,34.9,108.95,75.2,4.47,2019-07-23 18:28:25
20,Victoria,BN,1563906246,75,94,5.28,115.24,77.0,2.24,2019-07-23 18:24:06
21,Kapaa,US,1563906506,40,74,22.08,-159.32,82.4,17.22,2019-07-23 18:28:26
22,Faya,SA,1563906506,0,69,18.39,42.45,82.4,5.82,2019-07-23 18:28:26
23,Jamestown,AU,1563906312,98,96,-33.21,138.6,50.92,6.58,2019-07-23 18:25:12
24,Bankura,IN,1563906506,40,88,23.24,87.07,82.99,3.36,2019-07-23 18:28:26
25,Kungurtug,RU,1563906507,29,81,50.6,97.53,50.38,2.95,2019-07-23 18:28:27
26,Tautira,PF,1563906507,20,74,-17.73,-149.15,80.6,16.11,2019-07-23 18:28:27
27,Khatanga,RU,1563906507,83,64,71.98,102.47,46.24,8.75,2019-07-23 18:28:27
28,Barrow,AR,1563906507,0,28,-38.31,-60.23,54.16,10.92,2019-07-23 18:28:27
29,Santa Cruz,BR,1563906508,71,58,-6.22,-36.02,80.8,12.17,2019-07-23 18:28:28
30,Holbeach,GB,1563906508,0,61,52.8,0.02,90.0,10.29,2019-07-23 18:28:28
31,Busselton,AU,1563906508,100,66,-33.64,115.35,57.99,9.84,2019-07-23 18:28:28
32,Bluff,AU,1563906508,0,71,-23.58,149.07,57.22,5.46,2019-07-23 18:28:28
33,Saint-Pierre,FR,1563906508,0,15,48.95,4.24,98.6,3.36,2019-07-23 18:28:28
34,Hobart,AU,1563906509,75,92,-42.88,147.33,44.6,13.87,2019-07-23 18:28:29
35,Rikitea,PF,1563906509,97,76,-23.12,-134.97,70.0,16.89,2019-07-23 18:28:29
36,Nikolskoye,RU,1563906509,20,64,59.7,30.79,72.0,3.18,2019-07-23 18:28:29
37,Cape Town,ZA,1563906384,75,76,-33.93,18.42,54.0,13.87,2019-07-23 18:26:24
38,Miranda de Ebro,ES,1563906510,40,60,42.69,-2.95,77.0,10.29,2019-07-23 18:28:30
39,Port Elizabeth,US,1563906510,90,78,39.31,-74.98,78.01,3.36,2019-07-23 18:28:30
40,Norman Wells,CA,1563906306,20,64,65.28,-126.83,69.8,6.93,2019-07-23 18:25:06
41,Antalaha,MG,1563906510,37,94,-14.9,50.28,57.22,3.44,2019-07-23 18:28:30
42,Kodiak,US,1563906510,20,44,39.95,-94.76,79.0,8.05,2019-07-23 18:28:30
43,Odda,NO,1563906511,89,83,60.07,6.55,70.0,3.0,2019-07-23 18:28:31
44,Bilibino,RU,1563906511,100,92,68.06,166.44,31.84,4.21,2019-07-23 18:28:31
45,Paamiut,GL,1563906511,100,95,61.99,-49.67,40.48,4.32,2019-07-23 18:28:31
46,Kaitangata,NZ,1563906511,6,86,-46.28,169.85,42.01,4.0,2019-07-23 18:28:31
47,New Norfolk,AU,1563906512,75,92,-42.78,147.06,44.6,13.87,2019-07-23 18:28:32
48,Goderich,CA,1563906512,0,51,43.74,-81.71,75.99,11.01,2019-07-23 18:28:32
49,Padang,ID,1563906512,100,79,-0.92,100.36,80.62,4.97,2019-07-23 18:28:32
50,Marzuq,YE,1563906512,94,33,14.4,46.47,81.88,3.27,2019-07-23 18:28:32
51,Nanortalik,GL,1563906513,100,94,60.14,-45.24,39.22,5.61,2019-07-23 18:28:33
52,Sweetwater,US,1563906513,40,44,32.47,-100.41,84.99,6.93,2019-07-23 18:28:33
53,Vaini,IN,1563906513,100,93,15.34,74.49,76.48,2.71,2019-07-23 18:28:33
54,Verkhnyaya Inta,RU,1563906513,26,75,65.99,60.32,60.64,8.39,2019-07-23 18:28:33
55,Geraldton,CA,1563906514,40,46,49.72,-86.95,71.6,8.05,2019-07-23 18:28:34
56,Fairbanks,US,1563906287,82,60,64.84,-147.72,72.0,1.21,2019-07-23 18:24:47
57,Constitucion,MX,1563906514,40,46,23.99,-104.67,73.99,11.41,2019-07-23 18:28:34
58,Lavrentiya,RU,1563906514,100,96,65.58,-170.99,43.9,4.36,2019-07-23 18:28:34
59,Port Hardy,CA,1563906514,40,72,50.7,-127.42,62.6,9.17,2019-07-23 18:28:34
60,Safranbolu,TR,1563906263,0,83,41.25,32.69,64.24,1.92,2019-07-23 18:24:23
61,Esperance,AU,1563906515,90,100,-33.86,121.89,53.6,5.82,2019-07-23 18:28:35
62,Desaguadero,PE,1563906515,33,35,-16.56,-69.04,50.38,20.69,2019-07-23 18:28:35
63,Los Llanos de Aridane,ES,1563906515,20,69,28.66,-17.92,75.2,18.34,2019-07-23 18:28:35
64,Makakilo City,US,1563906515,90,73,21.35,-158.09,82.99,5.82,2019-07-23 18:28:35
65,Cabo Rojo,PR,1563906287,20,79,18.09,-67.15,90.0,13.87,2019-07-23 18:24:47
66,Baykit,RU,1563906516,91,69,61.68,96.39,60.64,4.0,2019-07-23 18:28:36
67,Hermanus,ZA,1563906516,83,96,-34.42,19.24,48.99,13.0,2019-07-23 18:28:36
68,Sorland,NO,1563906516,75,93,67.67,12.69,62.6,13.87,2019-07-23 18:28:36
69,Butaritari,KI,1563906516,100,70,3.07,172.79,84.94,9.57,2019-07-23 18:28:36
70,Saskylakh,RU,1563906517,84,79,71.97,114.09,46.06,2.93,2019-07-23 18:28:37
71,Mataura,NZ,1563906517,4,98,-46.19,168.86,35.01,4.65,2019-07-23 18:28:37
72,Arraial do Cabo,BR,1563906517,0,73,-22.97,-42.02,78.8,23.04,2019-07-23 18:28:37
73,Ponta do Sol,BR,1563906517,81,46,-20.63,-46.0,73.6,7.45,2019-07-23 18:28:37
74,Natal,BR,1563906518,20,51,-5.81,-35.21,84.2,16.11,2019-07-23 18:28:38
75,Sri Aman,MY,1563906518,90,100,1.24,111.46,75.2,1.1,2019-07-23 18:28:38
76,Faanui,PF,1563906518,97,85,-16.48,-151.75,79.18,14.67,2019-07-23 18:28:38
77,Vanavara,RU,1563906518,0,64,60.35,102.28,58.3,2.84,2019-07-23 18:28:38
78,East London,ZA,1563906519,0,18,-33.02,27.91,73.4,18.34,2019-07-23 18:28:39
79,Nuuk,GL,1563906519,75,81,64.17,-51.74,46.4,20.8,2019-07-23 18:28:39
80,Alghero,IT,1563906519,0,58,40.56,8.32,86.0,6.93,2019-07-23 18:28:39
81,Punta Gorda,US,1563906474,1,88,26.93,-82.05,88.0,8.05,2019-07-23 18:27:54
82,Kavieng,PG,1563906519,99,76,-2.57,150.8,82.42,12.35,2019-07-23 18:28:39
83,Dillon,US,1563906520,1,57,45.22,-112.64,82.99,11.41,2019-07-23 18:28:40
84,Novouzensk,RU,1563906520,0,46,50.46,48.14,71.62,8.39,2019-07-23 18:28:40
85,Ulaangom,MN,1563906520,68,59,49.98,92.07,62.98,1.9,2019-07-23 18:28:40
86,Biltine,TD,1563906520,0,40,14.53,20.93,91.96,9.15,2019-07-23 18:28:40
87,Sept-Iles,CA,1563906521,40,63,50.2,-66.38,68.0,11.41,2019-07-23 18:28:41
88,Banjar,ID,1563906521,69,93,-7.37,108.54,67.3,1.34,2019-07-23 18:28:41
89,Tuatapere,NZ,1563906521,0,98,-46.13,167.69,35.01,9.17,2019-07-23 18:28:41
90,Basco,US,1563906521,40,44,40.33,-91.2,81.0,6.93,2019-07-23 18:28:41
91,Cherskiy,RU,1563906522,100,84,68.75,161.3,40.12,12.21,2019-07-23 18:28:42
92,Derzhavinsk,KZ,1563906522,50,70,51.1,66.31,65.5,6.85,2019-07-23 18:28:42
93,Christchurch,NZ,1563906363,90,100,-43.53,172.64,48.99,1.12,2019-07-23 18:26:03
94,Port Alfred,ZA,1563906522,16,84,-33.59,26.89,57.0,8.01,2019-07-23 18:28:42
95,Cidreira,BR,1563906522,100,85,-30.17,-50.22,69.64,1.86,2019-07-23 18:28:42
96,Aginskoye,RU,1563906523,17,87,51.11,114.54,52.36,5.39,2019-07-23 18:28:43
97,Iqaluit,CA,1563906523,20,81,63.75,-68.52,42.8,5.82,2019-07-23 18:28:43
98,Carnarvon,ZA,1563906523,82,68,-30.97,22.13,41.74,37.36,2019-07-23 18:28:43
99,Durango,MX,1563906523,40,46,24.02,-104.67,73.99,11.41,2019-07-23 18:28:43
100,Lorengau,PG,1563906524,100,81,-2.02,147.27,79.9,9.46,2019-07-23 18:28:44
101,Minab,IR,1563906524,100,79,27.15,57.07,91.4,6.93,2019-07-23 18:28:44
102,Bethel,US,1563906524,90,82,60.79,-161.76,57.2,9.04,2019-07-23 18:28:44
103,Payo,ID,1563906524,55,76,-3.75,103.64,65.14,4.03,2019-07-23 18:28:44
104,Bredasdorp,ZA,1563906524,34,71,-34.53,20.04,53.6,12.75,2019-07-23 18:28:44
105,Ribeira Grande,PT,1563906525,75,88,38.52,-28.7,75.2,18.34,2019-07-23 18:28:45
106,Tuktoyaktuk,CA,1563906525,75,81,69.44,-133.03,51.8,12.75,2019-07-23 18:28:45
107,Ambilobe,MG,1563906525,15,62,-13.19,49.05,68.38,6.38,2019-07-23 18:28:45
108,Vestmannaeyjar,IS,1563906526,90,100,63.44,-20.27,53.6,5.82,2019-07-23 18:28:46
109,Lagoa,PT,1563906486,20,83,37.14,-8.45,80.01,12.75,2019-07-23 18:28:06
110,Ilulissat,GL,1563906526,75,53,69.22,-51.1,51.8,6.93,2019-07-23 18:28:46
111,Aklavik,CA,1563906526,75,72,68.22,-135.01,62.6,4.7,2019-07-23 18:28:46
112,Atuona,PF,1563906526,4,77,-9.8,-139.03,79.36,17.18,2019-07-23 18:28:46
113,Escanaba,US,1563906527,1,40,45.75,-87.06,75.0,11.41,2019-07-23 18:28:47
114,Si Satchanalai,TH,1563906527,100,88,17.52,99.76,74.5,1.88,2019-07-23 18:28:47
115,Awjilah,LY,1563906527,0,33,29.14,21.3,85.66,19.46,2019-07-23 18:28:47
